module|name|system_name|display_name & description|ADSUPR|ADBROK|ADSYST|MGCOMP|MGAGSV|MGCLSV|MGBZDV|MGLEAS|MGMTNC|MGACCT|MGLSEN|STCOMP|STAGSV|STCLSV|STBZDV|STLEAS|STMTNC|STACCT|STLSEN|ACCTEX|AGNTAF|AGNTUN|BUYER|SELLER|TENANT|VENDSA|VENDMT|Notes
users|Manage Super Admin|user_admin_super|Add/Edit/Delete user type Super Admin|x|||||||||||||||||||||||||||
users|Manage Brokerage Admin|user_admin_brokerage|Add/Edit/Delete user type Brokerage Admin|x|||||||||||||||||||||||||||
users|Manage System Admin|user_admin_system|Add/Edit/Delete user type System Admin|x|x||||||||||||||||||||||||||
users|Manage Managers|user_manager|Add/Edit/Delete user type Manager|x|x|x|||||||||||||||||||||||||
users|Manage Staff|user_staff|Add/Edit/Delete user type Staff|x|x|x|x|x|x|x|x|x|x|x|||||||||||||||||
users|Manage Account Executive|user_accountexecutive|Add/Edit/Delete user type Account Executive|x|x|x| |x||||||||x|||||||||||||||
users|Manage Affiliated Agent|user_agent_affiliated|Add/Edit/Delete user type Affiliated Agent |x|x|x||x||||||||x|||||||||||||||
users|Manage Unaffiliated Agents|user_agent_unaffiliated|Add/Edit/Delete user type Unaffiliated Agent|x|x|x||x||||||||x|||||||||||||||
users|Add user type Contact|user_contact_add|Add user type Contact|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||
users|Add user type Sales Vendor|user_vendor_sales_add|Add user type Sales Vendor|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||
users|Add user type Maintenance Vendor|user_vendor_maintenance_add|Add user type Maintenance Vendor|x|x|x||||||x||||||||x|||||||||||
contacts|"Access to ""Contacts"" database"|Contacts_Access|Access to Contacts module|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||
contacts|View all contacts within the database|Contacts_All_View|View all contacts|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||
contacts|View user type staff|Contacts_Staff_View|View Staff contact types||||||||||||||||||||x|x|||||||
contacts|View user type manager|Contacts_Manager_View|View Manager contact types ||||||||||||||||||||x|x|||||||
contacts|View user type account executive|Contacts_Accountexecutive_View|View Account Executive contact types ||||||||||||||||||||x|x|||||||
contacts|View user type affiliated agent|Contacts_Agent_ Affiliated_View|View Affiliated Agent contact types||||||||||||||||||||x|x|||||||
contacts|Export all contacts|Contacts_All_Export|Export all contact types |x|x|x|x|x|x|x|x|x|x|x|||||||||||||||||
contacts|View contact types buyer if created by user|Contacts_Buyer_owned_View|View contact type buyer, if created by the user| | | | || | | | | | | || | | | | | |x|x|||||||
contacts|View contact type seller if created by user|Contacts_Seller_owned_View|View contact type seller, if created by the user| | | | || | | | | | | || | | | | | |x|x|||||||
contacts|View contact type tenant if created by user|Contacts_Tenant_owned_View|View contact type tenant, if created by the user| | | | || | | | | | | || | | |  | | |x|x|||||||
contacts|View contact type buyer if assigned to, but not created by user|Contacts_Buyer_Assigned_View|View contact type buyer, if assigned to but not created by the user| | | | || | | | | | | || | | | | | | x|x|||||||
contacts|View contact type seller if assigned to, but not created by user|Contacts_seller_assigned_view|View contact type seller, if assigned to but not created by the user||||||||||||||||||||x|x|||||||
contacts|View contact type tenant if assigned to, but not created by user|Contacts_tenant_assigned_view|View contact type tenant, if assigned to but not created by the user||||||||||||||||||||x|x|||||||
contacts|View  vendor within same market|Contacts_vendor_market_view|View only vendors within the same market ||||||||||||||||||||x|x|||||||
contacts|"View Additional Information ""Page"""|Contacts_Additionalinformation_View|View Additional Information section of the contact detail|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||
contacts|Edit Additional Information|Contacts_Additionalinformation_Edit|Edit Additional Information section of the contact detail|x|x|x||x|||||x|||x|||||x||||||||||
contacts|Delete Additional Information|Contacts_Additionalinformation_Delete|Delete information from Additional Informtation section of contact detail|x|x|x||x| ||||x|||x| ||||x||||||||||
contacts|Manage Documents|Contacts_Documents|Add/View/Delete documents in the Documents section of contact detail|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||
contacts|Add a Note|Contacts_Note_Add|Add a Note|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||
contacts|Edit own note|Contacts_Note_Own_Edit|User can only edit a note they created| | | | || | | | | | |x||x|x|x|x|x|x|x|x|||||||
contacts|Edit all notes|Contacts_Note_all_Edit|Ability to edit any note|x|x|x|x|x|x|x|x|x|x|x|||||||||||||||||
contacts|Delete own note|Contacts_Note_Own_Delete|User can only delete a note they created| | | | || | | | | | |x|x|x|x|x|x|x|x|x|x|||||||
contacts|Delete note created by another user|Contacts_Note_all_Delete|Ability to delete any note|x|x|x|x|x|x|x|x|x|x|x|||||||||||||||||
contacts|"View notes marked ""Staff Only"""|Contacts_Notes_Staff_ View|"View notes marked ""Staff only"""|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||
